author,book,quote,score,score_num
[美] 卡勒德·胡赛尼,追风筝的人,为你，千千万万遍,8.9,310457
[法] 圣埃克苏佩里,小王子,献给长成了大人的孩子们,9.0,240130
钱锺书,围城,对于“人艰不拆”四个字最彻底的违抗,8.9,198044
[日] 东野圭吾,解忧杂货店,一碗精心熬制的东野牌鸡汤，拒绝很难,8.6,277652
余华,活着,活着本身就是人生最大的意义,9.1,144561
[日] 东野圭吾,白夜行,暗夜独行的残破灵魂，爱与恶本就难分难舍,9.1,209413
[日] 村上春树,挪威的森林,村上之发轫，多少人的青春启蒙,8.0,193739
[日] 东野圭吾,嫌疑人X的献身,数学好是一种极致的浪漫,8.9,161721
刘慈欣,三体,你我不过都是虫子,8.8,165112
[捷克] 米兰·昆德拉,不能承受的生命之轻,朝向媚俗的一次伟大的进军,8.5,139508
[清] 曹雪芹 著,红楼梦,谁解其中味？,9.6,129553
郭敬明,梦里花落知多少,只是青春留下的余烬,7.1,149485
[美] 丹·布朗,达·芬奇密码,一切畅销的因素都有了,8.2,131294
柴静,看见,在这里看见中国,8.8,129403
[哥伦比亚] 加西亚·马尔克斯,百年孤独,尼采所谓的永劫复归，一场无始无终的梦魇,9.2,129162
韩寒,1988：我想和这个世界谈谈,车手韩寒的公路小说,7.9,123601
顾漫,何以笙箫默,倒追有风险，入行需谨慎,7.8,121620
路遥,平凡的世界（全三部）,中国当代城乡生活全景,9.0,107032
[英] 夏洛蒂·勃朗特,简爱,灰姑娘在十九世纪,8.5,112087
[英] J. K. 罗琳,哈利·波特与魔法石,羽加迪姆勒维奥萨！,9.0,90491
东野圭吾,白夜行,封面剧透,9.2,111329
刘慈欣,三体Ⅱ,无边的黑暗森林，比第一部更为恢弘壮丽,9.3,97925
[美国] 玛格丽特·米切尔,飘,革命时期的爱情，随风而逝,9.3,82191
刘瑜,送你一颗子弹,犀利又温柔，穿过胸口隐隐作痛,8.6,92411
刘慈欣,三体Ⅲ,终章，何去何从,9.2,97367
高铭,天才在左 疯子在右,简称“疯癫与文明”,8.2,97246
[英] 奥斯丁,傲慢与偏见,所有现代言情小说的母体,8.8,88798
张爱玲,倾城之恋,一段姻缘，需要一座城的倾覆来成全,8.5,91134
韩寒,三重门,“我是金子，我要发光的”,7.4,97466
李可,杜拉拉升职记,职场丛林生存手册,7.8,90061
当年明月,明朝那些事儿（壹）,历史本就是一件件“事儿”拼成的,8.7,86447
[英] J. K. 罗琳,哈利·波特与阿兹卡班的囚徒,小天狼星布莱克,8.9,75690
龙应台,目送,不必追,8.7,85619
[法] 玛格丽特·杜拉斯,情人,我已经老了，你呢？,8.1,88798
[英] J. K. 罗琳,哈利·波特与密室,渐入佳境，魔法世界全貌初现,8.9,73246
